iter	Passed	Remaining
689	2299	1032
690	2302	1029
691	2305	1025
692	2309	1023
693	2312	1019
694	2316	1016
695	2319	1013
696	2323	1010
697	2326	1006
698	2329	1003
699	2332	999
700	2335	996
701	2338	992
702	2341	989
703	2343	985
704	2346	981
705	2349	978
706	2351	974
707	2354	971
708	2357	967
709	2360	964
710	2362	960
711	2365	956
712	2367	953
713	2370	949
714	2373	945
715	2375	942
716	2378	938
717	2380	935
718	2383	931
719	2386	927
720	2389	924
721	2391	920
722	2394	917
723	2397	913
724	2399	910
725	2402	906
726	2405	903
727	2408	899
728	2410	896
729	2413	892
730	2416	889
731	2418	885
732	2421	882
733	2424	878
734	2427	875
735	2430	871
736	2433	868
737	2436	864
738	2439	861
739	2441	857
740	2444	854
741	2446	850
742	2449	847
743	2452	843
744	2454	840
745	2457	836
746	2459	833
747	2462	829
748	2465	826
749	2467	822
750	2470	819
751	2473	815
752	2475	812
753	2478	808
754	2480	805
755	2483	801
756	2486	798
757	2489	794
758	2491	791
759	2494	787
760	2496	784
761	2499	780
762	2502	777
763	2505	773
764	2507	770
765	2510	766
766	2512	763
767	2515	759
768	2518	756
769	2521	753
770	2523	749
771	2526	746
772	2528	742
773	2532	739
774	2535	736
775	2538	732
776	2541	729
777	2544	725
778	2546	722
779	2549	719
780	2552	715
781	2554	712
782	2557	708
783	2560	705
784	2562	701
785	2565	698
786	2568	695
787	2571	691
788	2573	688
789	2576	685
790	2580	681
791	2583	678
792	2585	674
793	2588	671
794	2591	668
795	2593	664
796	2596	661
797	2599	658
798	2602	654
799	2605	651
800	2607	647
801	2610	644
802	2613	641
803	2616	637
804	2618	634
805	2621	630
806	2623	627
807	2626	624
808	2629	620
809	2632	617
810	2634	613
811	2638	610
812	2640	607
813	2643	603
814	2646	600
815	2649	597
816	2651	593
817	2654	590
818	2656	587
819	2659	583
820	2662	580
821	2665	577
822	2668	573
823	2670	570
824	2673	567
825	2676	563
826	2679	560
827	2682	557
828	2685	553
829	2688	550
830	2690	547
831	2693	543
832	2696	540
833	2699	537
834	2702	533
835	2704	530
836	2707	527
837	2710	523
838	2713	520
839	2716	517
840	2718	514
841	2721	510
842	2724	507
